number,value,datetime_start,datetime_complete,duration,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,state
0,0.24311306567396967,2025-09-15 23:44:52.804838,2025-09-15 23:48:36.183871,0 days 00:03:43.379033,0.30000000000000004,72,3,0.2,64,2,0.5,32,2,COMPLETE
1,0.24071692572906614,2025-09-15 23:48:36.211629,2025-09-15 23:56:30.452378,0 days 00:07:54.240749,0.4,64,3,0.30000000000000004,48,5,0.1,32,5,COMPLETE
2,0.2806357988156378,2025-09-15 23:56:30.475703,2025-09-16 00:02:20.880060,0 days 00:05:50.404357,0.2,96,5,0.30000000000000004,72,6,0.5,48,4,COMPLETE
3,0.09029336785897613,2025-09-16 00:02:20.902174,2025-09-16 00:06:56.666577,0 days 00:04:35.764403,0.30000000000000004,16,5,0.4,16,5,0.1,32,3,COMPLETE
4,0.0935938716866076,2025-09-16 00:06:56.689566,2025-09-16 00:11:22.890901,0 days 00:04:26.201335,0.4,16,6,0.1,16,3,0.30000000000000004,96,3,COMPLETE
5,0.23879800797440112,2025-09-16 00:11:22.912391,2025-09-16 00:20:01.183064,0 days 00:08:38.270673,0.2,64,4,0.2,32,6,0.5,32,6,COMPLETE
6,0.2801824850961566,2025-09-16 00:20:01.196697,2025-09-16 00:28:37.906522,0 days 00:08:36.709825,0.2,96,3,0.5,48,3,0.2,48,6,COMPLETE
7,0.24443571902811528,2025-09-16 00:28:37.918863,2025-09-16 00:35:46.299428,0 days 00:07:08.380565,0.6,48,2,0.6,48,6,0.1,48,5,COMPLETE
8,0.28040781542658805,2025-09-16 00:35:46.322020,2025-09-16 00:44:22.950736,0 days 00:08:36.628716,0.2,64,5,0.4,64,2,0.4,16,6,COMPLETE
9,0.21827932584565132,2025-09-16 00:44:22.973762,2025-09-16 00:47:27.540056,0 days 00:03:04.566294,0.2,64,5,0.4,48,5,0.2,64,2,COMPLETE
10,0.10163280833512545,2025-09-16 00:47:27.562768,2025-09-16 00:51:58.749493,0 days 00:04:31.186725,0.6,16,6,0.6,16,4,0.2,72,3,COMPLETE
11,0.0833340322598815,2025-09-16 00:51:58.772831,2025-09-16 00:56:30.118408,0 days 00:04:31.345577,0.4,16,6,0.1,16,4,0.30000000000000004,96,3,COMPLETE
12,0.0997620003297925,2025-09-16 00:56:30.130811,2025-09-16 01:01:03.783848,0 days 00:04:33.653037,0.5,16,6,0.1,16,4,0.30000000000000004,96,3,COMPLETE
13,0.09126725080423057,2025-09-16 01:01:03.799160,2025-09-16 01:07:00.349739,0 days 00:05:56.550579,0.30000000000000004,32,5,0.5,96,4,0.4,96,4,COMPLETE
14,0.10074371555820108,2025-09-16 01:07:00.371625,2025-09-16 01:11:25.483822,0 days 00:04:25.112197,0.5,16,4,0.2,16,5,0.4,16,3,COMPLETE
15,0.12864410122856498,2025-09-16 01:11:25.495997,2025-09-16 01:14:32.370973,0 days 00:03:06.874976,0.1,16,6,0.4,16,3,0.2,72,2,COMPLETE
16,0.08440148271620274,2025-09-16 01:14:32.384491,2025-09-16 01:20:16.991636,0 days 00:05:44.607145,0.4,32,4,0.5,96,5,0.1,64,4,COMPLETE
17,0.21908481940627098,2025-09-16 01:20:17.005064,2025-09-16 01:27:26.900370,0 days 00:07:09.895306,0.5,32,4,0.5,96,4,0.30000000000000004,64,5,COMPLETE
18,0.017023127479478716,2025-09-16 01:27:26.912740,2025-09-16 01:33:15.274982,0 days 00:05:48.362242,0.4,32,2,0.30000000000000004,96,5,0.2,64,4,COMPLETE
19,0.015244248579256237,2025-09-16 01:33:15.296494,2025-09-16 01:39:02.433353,0 days 00:05:47.136859,0.5,72,2,0.1,72,4,0.2,96,4,COMPLETE
20,0.18342496908735484,2025-09-16 01:39:02.456402,2025-09-16 01:46:18.422585,0 days 00:07:15.966183,0.5,72,2,0.30000000000000004,72,3,0.2,64,5,COMPLETE
21,0.11404826298821717,2025-09-16 01:46:18.446119,2025-09-16 01:52:03.739831,0 days 00:05:45.293712,0.4,72,2,0.1,72,4,0.30000000000000004,96,4,COMPLETE
22,0.016613992373459043,2025-09-16 01:52:03.762259,2025-09-16 01:57:59.751273,0 days 00:05:55.989014,0.5,48,2,0.2,32,4,0.2,96,4,COMPLETE
23,0.021377171343192457,2025-09-16 01:57:59.776262,2025-09-16 02:03:48.302180,0 days 00:05:48.525918,0.6,48,2,0.2,32,5,0.2,96,4,COMPLETE
24,0.020208648359403013,2025-09-16 02:03:48.324867,2025-09-16 02:09:39.319039,0 days 00:05:50.994172,0.5,48,3,0.2,32,3,0.2,96,4,COMPLETE
25,0.08096621171571314,2025-09-16 02:09:39.341140,2025-09-16 02:16:48.674320,0 days 00:07:09.333180,0.5,32,2,0.30000000000000004,72,4,0.1,64,5,COMPLETE
26,0.28103637835010886,2025-09-16 02:16:48.698246,2025-09-16 02:22:37.964101,0 days 00:05:49.265855,0.6,72,3,0.2,96,5,0.2,96,4,COMPLETE
27,0.020494496100582182,2025-09-16 02:22:37.988173,2025-09-16 02:29:49.443573,0 days 00:07:11.455400,0.5,48,2,0.1,32,4,0.2,16,5,COMPLETE
28,0.019600639236159623,2025-09-16 02:29:49.466222,2025-09-16 02:35:31.285917,0 days 00:05:41.819695,0.4,32,2,0.30000000000000004,32,6,0.1,72,4,COMPLETE
29,0.27876099743880334,2025-09-16 02:35:31.310305,2025-09-16 02:41:24.744236,0 days 00:05:53.433931,0.30000000000000004,72,3,0.2,64,2,0.30000000000000004,64,4,COMPLETE
30,0.0860053967218846,2025-09-16 02:41:24.766581,2025-09-16 02:45:51.662550,0 days 00:04:26.895969,0.6,48,2,0.2,72,5,0.2,96,3,COMPLETE
31,0.016586516390088946,2025-09-16 02:45:51.676765,2025-09-16 02:51:34.329262,0 days 00:05:42.652497,0.4,32,2,0.30000000000000004,32,6,0.1,72,4,COMPLETE
32,0.02274223866406828,2025-09-16 02:51:34.350679,2025-09-16 02:57:30.693925,0 days 00:05:56.343246,0.4,32,3,0.30000000000000004,32,6,0.1,72,4,COMPLETE
33,0.015644139994401486,2025-09-16 02:57:30.715167,2025-09-16 03:03:15.906187,0 days 00:05:45.191020,0.30000000000000004,32,2,0.30000000000000004,32,6,0.1,72,4,COMPLETE
34,0.2729516323655844,2025-09-16 03:03:15.919666,2025-09-16 03:10:25.682134,0 days 00:07:09.762468,0.30000000000000004,96,3,0.30000000000000004,32,6,0.1,72,5,COMPLETE
35,0.011858979251701384,2025-09-16 03:10:25.704220,2025-09-16 03:16:12.410374,0 days 00:05:46.706154,0.30000000000000004,72,2,0.1,32,6,0.1,72,4,COMPLETE
36,0.14164668098092079,2025-09-16 03:16:12.423952,2025-09-16 03:20:43.005064,0 days 00:04:30.581112,0.30000000000000004,72,3,0.1,32,6,0.1,72,3,COMPLETE
37,0.07774100719834678,2025-09-16 03:20:43.016132,2025-09-16 03:26:34.101284,0 days 00:05:51.085152,0.1,72,2,0.1,32,6,0.1,72,4,COMPLETE
38,0.24361151487100868,2025-09-16 03:26:34.114114,2025-09-16 03:33:50.619837,0 days 00:07:16.505723,0.30000000000000004,72,2,0.1,72,6,0.1,32,5,COMPLETE
39,0.24266471776645632,2025-09-16 03:33:50.634404,2025-09-16 03:40:59.108034,0 days 00:07:08.473630,0.30000000000000004,96,3,0.4,64,6,0.1,72,5,COMPLETE
40,,2025-09-16 03:40:59.131509,,,0.2,32,2,0.2,32,6,0.1,72,3,RUNNING
41,0.01353753514122218,2025-09-16 07:18:44.016512,2025-09-16 07:23:07.060658,0 days 00:04:23.044146,0.2,32,2,0.2,32,6,0.1,72,3,COMPLETE
42,0.014865179068874568,2025-09-16 07:23:07.078346,2025-09-16 07:26:13.985926,0 days 00:03:06.907580,0.2,32,2,0.2,32,6,0.1,72,2,COMPLETE
43,0.07559956712648272,2025-09-16 07:26:14.012234,2025-09-16 07:29:28.213301,0 days 00:03:14.201067,0.2,32,2,0.2,32,6,0.1,72,2,COMPLETE
44,0.013723424740601332,2025-09-16 07:29:28.239498,2025-09-16 07:32:47.548243,0 days 00:03:19.308745,0.2,32,2,0.1,32,5,0.1,48,2,COMPLETE
45,0.18192392747150735,2025-09-16 07:32:47.565921,2025-09-16 07:36:07.182466,0 days 00:03:19.616545,0.1,64,2,0.1,48,5,0.1,48,2,COMPLETE
46,0.07210040284553543,2025-09-16 07:36:07.208845,2025-09-16 07:39:25.844230,0 days 00:03:18.635385,0.2,72,3,0.1,32,5,0.1,48,2,COMPLETE
47,0.012123799056280405,2025-09-16 07:39:25.859000,2025-09-16 07:42:47.372482,0 days 00:03:21.513482,0.2,32,2,0.1,32,5,0.1,48,2,COMPLETE
48,,2025-09-16 07:42:47.396743,2025-09-16 07:43:05.917649,0 days 00:00:18.520906,0.2,32,2,0.1,32,5,0.1,48,2,FAIL
49,0.07380131604149938,2025-09-16 08:23:09.226888,2025-09-16 08:26:44.155547,0 days 00:03:34.928659,0.2,32,2,0.1,32,5,0.1,48,2,COMPLETE
50,0.07575069691520184,2025-09-16 08:26:44.189692,2025-09-16 08:30:22.752325,0 days 00:03:38.562633,0.2,32,3,0.2,32,6,0.5,48,2,COMPLETE
51,0.05638162192190066,2025-09-16 08:30:22.780756,2025-09-16 08:33:59.519244,0 days 00:03:36.738488,0.1,32,4,0.1,32,5,0.1,48,2,COMPLETE
52,0.014062341768294573,2025-09-16 08:33:59.548224,2025-09-16 08:39:11.641655,0 days 00:05:12.093431,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
53,0.012575168663170188,2025-09-16 08:39:11.672790,2025-09-16 08:44:25.538038,0 days 00:05:13.865248,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
54,0.012998328567482531,2025-09-16 08:44:25.566372,2025-09-16 08:49:38.426200,0 days 00:05:12.859828,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
55,0.012991745653562248,2025-09-16 08:49:38.456254,2025-09-16 08:54:54.142760,0 days 00:05:15.686506,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
56,0.07247555266367271,2025-09-16 08:54:54.174226,2025-09-16 09:00:01.864667,0 days 00:05:07.690441,0.1,32,2,0.1,48,6,0.4,48,3,COMPLETE
57,0.21841515807900577,2025-09-16 09:00:01.893283,2025-09-16 09:05:04.908902,0 days 00:05:03.015619,0.2,64,2,0.2,48,6,0.1,48,3,COMPLETE
58,0.05475541808409616,2025-09-16 09:05:04.939159,2025-09-16 09:10:03.895357,0 days 00:04:58.956198,0.1,32,3,0.1,48,6,0.1,32,3,COMPLETE
59,0.20004435373703017,2025-09-16 09:10:03.924850,2025-09-16 09:15:04.539669,0 days 00:05:00.614819,0.2,96,2,0.2,48,6,0.1,48,3,COMPLETE
60,0.012227280775550752,2025-09-16 09:15:04.570090,2025-09-16 09:20:02.905781,0 days 00:04:58.335691,0.2,32,2,0.1,48,6,0.2,48,3,COMPLETE
61,0.07525223020929843,2025-09-16 09:20:02.935074,2025-09-16 09:25:02.967319,0 days 00:05:00.032245,0.30000000000000004,32,2,0.1,48,6,0.2,48,3,COMPLETE
62,0.07837464853655547,2025-09-16 09:25:02.999823,2025-09-16 09:30:16.893801,0 days 00:05:13.893978,0.1,16,5,0.1,48,5,0.2,48,3,COMPLETE
63,0.013702389679383486,2025-09-16 09:30:16.924297,2025-09-16 09:35:22.489468,0 days 00:05:05.565171,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
64,0.08057899868581445,2025-09-16 09:35:22.519025,2025-09-16 09:40:24.995813,0 days 00:05:02.476788,0.2,32,2,0.2,48,6,0.1,16,3,COMPLETE
65,0.012160248798318207,2025-09-16 09:40:25.025768,2025-09-16 09:45:30.665257,0 days 00:05:05.639489,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
66,0.11649624025449157,2025-09-16 09:45:30.695312,2025-09-16 09:50:44.267108,0 days 00:05:13.571796,0.2,32,2,0.1,48,6,0.2,48,3,COMPLETE
67,0.013678834622260183,2025-09-16 09:50:44.297060,2025-09-16 09:55:56.830989,0 days 00:05:12.533929,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
68,0.11133796066278592,2025-09-16 09:55:56.860694,2025-09-16 10:06:03.779900,0 days 00:10:06.919206,0.30000000000000004,64,2,0.1,48,6,0.2,48,6,COMPLETE
69,0.014079901180230081,2025-09-16 10:06:03.809787,2025-09-16 10:11:17.924964,0 days 00:05:14.115177,0.1,32,3,0.1,48,5,0.1,48,3,COMPLETE
70,0.07414941079914569,2025-09-16 10:11:17.957052,2025-09-16 10:15:11.719278,0 days 00:03:53.762226,0.2,32,2,0.6,16,6,0.1,48,2,COMPLETE
71,0.01606491677230224,2025-09-16 10:15:11.748459,2025-09-16 10:20:36.240546,0 days 00:05:24.492087,0.2,16,2,0.1,64,6,0.30000000000000004,48,3,COMPLETE
72,0.014941592118702829,2025-09-16 10:20:36.270377,2025-09-16 10:25:46.181105,0 days 00:05:09.910728,0.30000000000000004,32,2,0.1,48,2,0.2,32,3,COMPLETE
73,0.11875228049466387,2025-09-16 10:25:46.211063,2025-09-16 10:30:54.752778,0 days 00:05:08.541715,0.2,32,2,0.2,48,6,0.1,16,3,COMPLETE
74,0.07564449964556844,2025-09-16 10:30:54.783198,2025-09-16 10:36:09.225795,0 days 00:05:14.442597,0.2,32,2,0.2,96,6,0.1,48,3,COMPLETE
75,0.013292913150507957,2025-09-16 10:36:09.260637,2025-09-16 10:41:19.417540,0 days 00:05:10.156903,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
76,0.012380060809664428,2025-09-16 10:41:19.449713,2025-09-16 10:46:27.564416,0 days 00:05:08.114703,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
77,0.17749308639904485,2025-09-16 10:46:27.597907,2025-09-16 10:51:37.091987,0 days 00:05:09.494080,0.2,96,2,0.1,48,6,0.1,48,3,COMPLETE
78,0.08072472477797418,2025-09-16 10:51:37.122403,2025-09-16 10:55:10.061064,0 days 00:03:32.938661,0.30000000000000004,32,2,0.1,48,6,0.1,48,2,COMPLETE
79,0.15764561225660145,2025-09-16 10:55:10.090777,2025-09-16 11:00:19.303437,0 days 00:05:09.212660,0.1,72,5,0.1,48,5,0.1,48,3,COMPLETE
80,0.11115607861429452,2025-09-16 11:00:19.336370,2025-09-16 11:06:59.765557,0 days 00:06:40.429187,0.2,48,2,0.1,48,6,0.1,48,4,COMPLETE
81,0.1365126925520599,2025-09-16 11:06:59.795629,2025-09-16 11:12:08.092081,0 days 00:05:08.296452,0.30000000000000004,32,3,0.4,64,6,0.2,48,3,COMPLETE
82,0.01673024898627773,2025-09-16 11:12:08.122986,2025-09-16 11:18:55.566923,0 days 00:06:47.443937,0.2,32,4,0.1,16,5,0.4,64,4,COMPLETE
83,0.013823672966100275,2025-09-16 11:18:55.598059,2025-09-16 11:24:04.817181,0 days 00:05:09.219122,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
84,0.01480989110423252,2025-09-16 11:24:05.009107,2025-09-16 11:29:12.188028,0 days 00:05:07.178921,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
85,0.07278906374704093,2025-09-16 11:29:12.218614,2025-09-16 11:34:22.410973,0 days 00:05:10.192359,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
86,0.01205747943604365,2025-09-16 11:34:22.441448,2025-09-16 11:39:26.590914,0 days 00:05:04.149466,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
87,0.11868225806392729,2025-09-16 11:39:26.619806,2025-09-16 11:42:56.601540,0 days 00:03:29.981734,0.2,72,2,0.1,48,6,0.1,48,2,COMPLETE
88,0.07289152217563241,2025-09-16 11:42:56.630517,2025-09-16 11:47:58.838237,0 days 00:05:02.207720,0.1,32,2,0.1,96,6,0.1,32,3,COMPLETE
89,0.13552333873230965,2025-09-16 11:47:58.868141,2025-09-16 11:54:33.575567,0 days 00:06:34.707426,0.2,32,2,0.1,48,6,0.1,16,4,COMPLETE
90,0.18205405394546686,2025-09-16 11:54:33.604538,2025-09-16 11:58:04.024250,0 days 00:03:30.419712,0.30000000000000004,64,2,0.1,72,6,0.1,48,2,COMPLETE
91,0.07323384324554354,2025-09-16 11:58:04.053430,2025-09-16 12:03:07.897933,0 days 00:05:03.844503,0.2,32,2,0.1,48,5,0.1,48,3,COMPLETE
92,0.01809443477541208,2025-09-16 12:03:07.927816,2025-09-16 12:08:13.584581,0 days 00:05:05.656765,0.2,16,3,0.1,48,6,0.2,48,3,COMPLETE
93,0.013816012197639792,2025-09-16 12:08:13.615964,2025-09-16 12:13:19.253647,0 days 00:05:05.637683,0.2,32,2,0.2,48,6,0.1,48,3,COMPLETE
94,0.012077829521149396,2025-09-16 12:13:19.283476,2025-09-16 12:18:25.455583,0 days 00:05:06.172107,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
95,0.013412799581419676,2025-09-16 12:18:25.487350,2025-09-16 12:23:33.546605,0 days 00:05:08.059255,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
96,0.01317641066852957,2025-09-16 12:23:33.575727,2025-09-16 12:28:43.539868,0 days 00:05:09.964141,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
97,0.23734210729016922,2025-09-16 12:28:43.572076,2025-09-16 12:33:54.388027,0 days 00:05:10.815951,0.1,72,2,0.1,48,6,0.1,48,3,COMPLETE
98,0.013547220977488904,2025-09-16 12:33:54.418587,2025-09-16 12:39:03.775183,0 days 00:05:09.356596,0.2,32,2,0.1,48,6,0.1,48,3,COMPLETE
99,0.013038744864752516,2025-09-16 12:39:03.805690,2025-09-16 12:42:40.332878,0 days 00:03:36.527188,0.2,48,2,0.1,16,6,0.1,64,2,COMPLETE
100,0.2806893017143011,2025-09-16 12:42:40.364005,2025-09-16 12:49:34.660753,0 days 00:06:54.296748,0.30000000000000004,96,6,0.1,64,6,0.1,72,4,COMPLETE
101,,2025-09-16 12:49:34.698130,2025-09-16 12:49:48.334538,0 days 00:00:13.636408,0.2,32,2,0.1,48,6,0.1,48,3,FAIL
102,,2025-09-29 17:34:17.861375,2025-09-29 17:34:21.487199,0 days 00:00:03.625824,0.2,32,2,0.5,48,6,0.1,48,3,FAIL
