exp,Voltage [V],Temp_F [C],Temp_A [C],Temp_B [C],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
0,30,20.9,20.7,21.2,0.25,0.5,1.0,0,0.46792455000000005,-0.00599111,-0.006195,1.0685389,0.00449710688,0.017298273125999998,13.5,10.72,11.54,0.8,0.8,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.0,0.1
0,30,25.6,25.7,26.2,0.25,0.5,1.0,1,0.43406330000000004,0.028368889999999997,-0.004855345,0.469580449,0.010477322,0.7234712172,13.27,2.96,13.04,0.8,0.8,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,2.0112118680691546,1.0
0,30,29.5,29.3,29.9,0.25,0.5,1.0,2,0.31259905000000004,0.1619,-0.002984685,0.30243040000000004,0.019146528,1.05212032,12.53,2.36,13.45,0.8,0.8,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.3119644626986589,1.7
0,30,26.2,26.1,27,0.25,0.5,1.0,3,-0.004546265,0.41560400000000003,0.0016010850000000012,0.00457141608,0.02147945,1.24842467,10.51,2.17,13.58,0.8,0.8,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.9095348544485373,0.4
0,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,
0,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,
0,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,
0,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,
0,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,
0,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,
1,20,20.2,19.8,19.6,0.25,0.5,1.0,0,0.46037664000000006,-0.006020435,-0.0060662549999999996,1.0359541,0.0035,0.011473731424,13.49,9.23,10.93,0.8,0.8,0.78,0.19999999999999996,0.19999999999999996,0.21999999999999997,0.0,0.0
1,20,21.1,20.1,20.5,0.25,0.5,1.0,1,0.44715995999999997,-0.005833395,-0.005349545,1.0848421000000001,0.0035,0.025684215,13.45,9.79,12.24,0.82,0.79,0.77,0.19999999999999996,0.19999999999999996,0.21999999999999997,28.90470248492615,0.1
1,20,21.9,21.4,21.1,0.25,0.5,1.0,2,0.43424742,-0.005177045,-0.004383834999999999,1.0305261,0.0035,0.5866557323,13.45,8.91,12.57,0.88,0.76,0.73,0.19999999999999996,0.19999999999999996,0.21999999999999997,16.380189526119302,0.2
1,20,22.3,21.7,21.6,0.25,0.5,1.0,3,0.42352871,-0.0031981549999999994,-0.0034137799999999995,0.9546181,0.0035,0.6371287808,13.38,4.25,12.82,0.89,0.75,0.72,0.19999999999999996,0.19999999999999996,0.21999999999999997,10.878020667969162,0.3
1,20,22.6,22.2,21.9,0.25,0.5,1.0,4,0.40935476500000006,0.007311985000000003,-0.0024794049999999996,0.7763125,0.00705465122,0.7323078307,13.25,3.52,13.04,0.9,0.75,0.71,0.19999999999999996,0.19999999999999996,0.21999999999999997,4.3710031700949,0.4
1,20,21.4,20.9,20.7,0.25,0.5,1.0,6.5,0.27290461000000005,0.11921711,0.0067146950000000006,0.401772609,0.014825888,1.05859568,12.54,2.64,13.49,0.95,0.68,0.78,0.19999999999999996,0.19999999999999996,0.21999999999999997,1.547795197988991,0.8
1,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.21999999999999997,,
1,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.21999999999999997,,
1,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.21999999999999997,,
1,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.21999999999999997,,
2,20,22.6,22.7,23.2,0.25,0.5,1.0,0,0.48894725,-0.0056818599999999995,-0.006195,1.08756,0.0044222748242,0.015311638015999999,13.48,10.81,11.74,0.81,0.8,0.78,0.18999999999999995,0.19999999999999996,0.21999999999999997,0.0,0.1
2,20,24,23.9,24.4,0.25,0.5,1.0,1,0.47136100000000003,0.00344751,-0.005183414999999999,1.0794069000000002,0.0069108432800000005,0.6241443107,13.41,3.97,12.87,0.83,0.79,0.76,0.18999999999999995,0.19999999999999996,0.21999999999999997,2.651417937311619,0.4
2,20,25.2,25.2,25.6,0.25,0.5,1.0,2,0.4442368000000001,0.026209720000000002,-0.0031472749999999997,0.8815696000000002,0.00937557632,0.7877788971999999,13.29,3.3,13.14,0.83,0.79,0.76,0.18999999999999995,0.19999999999999996,0.21999999999999997,1.9791242909154094,0.6
2,20,26.1,26.2,26.7,0.25,0.5,1.0,3,0.3949303,0.08612135,-0.0016196649999999993,0.644229081,0.01248191712,0.96318147,13.01,2.83,13.33,0.79,0.8,0.79,0.18999999999999995,0.19999999999999996,0.21999999999999997,1.2535824105017652,0.8
2,20,26.3,26.5,26.9,0.25,0.5,1.0,4,0.29135155,0.19984555,0.00112956,0.40844088400000006,0.016443127999999998,1.081267,12.41,2.52,13.51,0.74,0.81,0.8,0.18999999999999995,0.19999999999999996,0.21999999999999997,0.8609449417662222,0.9
2,20,24.7,24.2,24.7,0.25,0.5,1.0,5.1,0.10937225000000002,0.33881300000000003,0.010475389999999998,0.240781504,0.017037018,1.1477292300000002,11.62,2.39,13.65,0.72,0.78,0.9,0.18999999999999995,0.19999999999999996,0.21999999999999997,0.0,
2,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.21999999999999997,,
2,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.21999999999999997,,
2,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.21999999999999997,,
2,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.21999999999999997,,
3,10,,,,0.25,0.5,1.0,0,0.4281573500000001,-0.006195,-0.006195,1.0223856000000002,0.0036913560642,0.012162390613999999,13.5,9.97,11.08,0.81,0.81,0.79,0.18999999999999995,0.18999999999999995,0.20999999999999996,0.0,0.0
3,10,,,,0.25,0.5,1.0,1,0.4142726,-0.00533775,-0.00451501,0.979,0.00460326528,0.0271174006,13.51,10.81,12.31,0.85,0.79,0.76,0.18999999999999995,0.18999999999999995,0.20999999999999996,2.878938215894625,0.1
3,10,,,,0.25,0.5,1.0,2,0.40225745000000007,-0.004202745,-0.0031632749999999997,1.0196724999999998,0.00598478048,0.5933820323,13.46,10.96,12.64,0.9,0.79,0.75,0.18999999999999995,0.18999999999999995,0.20999999999999996,3.1188625942743413,0.1
3,10,,,,0.25,0.5,1.0,3,0.39052000000000003,-0.002758035,-0.0021587049999999995,0.9302524,0.0070759585800000005,0.6347239522999999,13.38,10.96,12.82,0.9,0.78,0.73,0.18999999999999995,0.18999999999999995,0.20999999999999996,3.0226079628018216,0.2
3,10,23.5,23.5,24.2,0.25,0.5,1.0,4,0.37917455000000005,-0.0008453949999999997,-0.0014080449999999993,0.8356509000000002,0.0079394445,0.6802782907,13.32,10.87,13,0.95,0.78,0.71,0.18999999999999995,0.18999999999999995,0.20999999999999996,3.3562105459846223,0.2
3,10,23.8,23.9,24.4,0.25,0.5,1.0,19.966666666666665,0.16756175,0.26357535,0.027605015,0.302962324,0.025402298,1.0246107500000001,12.08,2.96,13.49,0.82,0.64,0.88,0.18999999999999995,0.18999999999999995,0.20999999999999996,0.6054611941726177,0.2
3,10,23.2,23.3,23.8,0.25,0.5,1.0,21.383333333333333,0.1394667,0.28104940000000006,0.030824345,0.282754836,0.026823978000000002,1.03755427,12.12,2.95,13.52,0.8,0.62,0.88,0.18999999999999995,0.18999999999999995,0.20999999999999996,0.6058038069766258,0.1
3,10,23.1,23.4,23.8,0.25,0.5,1.0,23.466666666666665,0.11396790000000001,0.30150760000000004,0.037962195000000004,0.26654402499999996,0.029181152,1.0327,11.94,2.96,13.52,0.75,0.61,1,0.18999999999999995,0.18999999999999995,0.20999999999999996,0.6037701876122498,0.1
3,10,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.18999999999999995,0.20999999999999996,,
3,10,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.18999999999999995,0.20999999999999996,,
4,20,23.8,23.8,24.3,0.25,0.5,1.0,0,0.41855460000000005,-0.00586945,-0.006195,1.0712556,0.00976580658,0.01476828375,13.49,10.54,11.6,0.81,0.8,0.81,0.18999999999999995,0.19999999999999996,0.18999999999999995,0.0,0.0
4,20,23,23.1,23.6,0.25,0.5,1.0,1,0.40242465000000005,0.0005168049999999995,-0.004449905,1.0495276,0.006633962,0.6257471186999999,13.4,3.86,12.81,0.83,0.8,0.77,0.18999999999999995,0.19999999999999996,0.18999999999999995,3.3414037868845607,0.4
4,20,23.6,23.8,24.3,0.25,0.5,1.0,3,0.30674290000000004,0.06965370000000001,-0.0020462499999999995,0.611484769,0.01215994752,0.93895692,13.05,2.78,13.4,0.82,0.79,0.78,0.18999999999999995,0.19999999999999996,0.18999999999999995,1.4160095729011373,0.7
4,20,24,24.1,24.6,0.25,0.5,1.0,4,0.30595355,0.2109697,-6.209999999999549e-06,0.378576756,0.0157958,1.05697675,12.28,2.45,13.5,0.75,0.81,0.81,0.18999999999999995,0.19999999999999996,0.18999999999999995,0.7540581288576036,0.8
4,20,23.8,23.9,24.4,0.25,0.5,1.0,5,0.09830205000000002,0.39153645000000004,0.007126284999999999,0.229101616,0.018821592,1.19804812,11.26,2.29,13.57,0.68,0.86,0.87,0.18999999999999995,0.19999999999999996,0.18999999999999995,0.5317520020806888,0.8
4,20,23.3,23.4,24,0.25,0.5,1.0,6,-0.0053707849999999994,0.4639632,0.013628190000000002,0.00445995522,0.019363232,1.2305425200000002,10.7,2.3,13.61,0.61,0.9,0.92,0.18999999999999995,0.19999999999999996,0.18999999999999995,0.5087007777720494,0.2
4,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.18999999999999995,,
4,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.18999999999999995,,
4,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.18999999999999995,,
4,20,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.18999999999999995,0.19999999999999996,0.18999999999999995,,
5,30,25.6,25.7,26.2,0.25,0.5,1.0,0,0.4980800000000001,-0.006195,-0.006195,1.0223856000000002,0.00358480512,0.011217627744,13.51,8.63,10.4,0.83,0.8,0.79,0.17000000000000004,0.19999999999999996,0.20999999999999996,0.0,0.1
5,30,24.9,25.1,25.6,0.25,0.5,1.0,1,0.47424555,0.011972340000000001,-0.003969835,0.9681616000000001,0.00750757032,0.6599011788,13.4,3.31,12.96,0.83,0.8,0.78,0.17000000000000004,0.19999999999999996,0.20999999999999996,2.9636165886355337,0.8
5,30,,,,0.25,0.5,1.0,2,0.392996,0.10748015000000001,-0.0019901749999999994,0.580378441,0.01276107392,0.9583354799999999,12.97,2.64,13.41,0.79,0.81,0.79,0.17000000000000004,0.19999999999999996,0.20999999999999996,1.5841650240722251,1.5
5,30,,,,0.25,0.5,1.0,4,-0.00600336,0.4482619,0.008697385000000002,0.00393473448,0.01958,1.2370442799999999,10.72,2.25,13.71,0.6,0.9,0.89,0.17000000000000004,0.19999999999999996,0.20999999999999996,0.7989549121799023,0.2
5,30,,,,0.25,0.5,1.0,5,-0.006195,0.44310055000000004,0.015066010000000001,0.0038742796872,0.019254872,1.19967227,11.01,2.94,13.67,0.56,0.9,1,0.17000000000000004,0.19999999999999996,0.20999999999999996,0.8527499262899318,0.2
5,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.17000000000000004,0.19999999999999996,0.20999999999999996,,
5,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.17000000000000004,0.19999999999999996,0.20999999999999996,,
5,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.17000000000000004,0.19999999999999996,0.20999999999999996,,
5,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.17000000000000004,0.19999999999999996,0.20999999999999996,,
5,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.17000000000000004,0.19999999999999996,0.20999999999999996,,
6,30,22.7,22.7,23.2,0.25,1.0,2.0,0,0.9865815000000001,-0.00499074,-0.006195,1.93975,0.005995418,0.018520853599999998,13.83,11.12,11.93,0.82,0.81,0.82,0.18000000000000005,0.18999999999999995,0.18000000000000005,0.0,0.1
6,30,21.1,21.4,21.8,0.25,1.0,2.0,1,0.9369805000000001,0.025803545,-0.0037941999999999997,1.6103461,0.00922595552,0.7742663211999999,13.74,3.37,13.25,0.82,0.8,0.79,0.18000000000000005,0.18999999999999995,0.18000000000000005,2.905315409071626,1.1
6,30,21.6,21.8,22.2,0.25,1.0,2.0,1.6666666666666665,0.902022,0.07617725000000002,-0.0021561749999999998,1.3494096,0.01188102368,0.9987352299999999,13.67,2.99,13.56,0.82,0.8,0.79,0.18000000000000005,0.18999999999999995,0.18000000000000005,2.2412468729866135,1.4
6,30,23.3,23.3,23.8,0.25,1.0,2.0,4,0.4620494,0.5640235,0.010616820000000003,0.00910841832,0.02147945,1.6650003199999999,12.12,2.23,13.89,0.56,0.93,0.96,0.18000000000000005,0.18999999999999995,0.18000000000000005,1.0066196663757132,1.9
6,30,21.9,21.9,22.5,0.25,1.0,2.0,5,-0.004290174999999999,0.8324100000000001,0.021000355000000002,0.00500681312,0.020556248,1.7964947199999997,10.91,2.11,13.93,0.4,1,1,0.18000000000000005,0.18999999999999995,0.18000000000000005,0.8384448240545026,1.0
6,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.18999999999999995,0.18000000000000005,,
6,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.18999999999999995,0.18000000000000005,,
6,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.18999999999999995,0.18000000000000005,,
6,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.18999999999999995,0.18000000000000005,,
6,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.18999999999999995,0.18000000000000005,,
7,30,20.7,20.9,21.3,0.25,1.0,2.0,0,0.9145090000000001,-0.006195,-0.006195,1.8897424000000003,0.003605106864578,0.01303441935,13.97,6.55,11.48,0.82,0.8,1.8,0.18000000000000005,0.19999999999999996,-0.8,0.0,0.1
7,30,19.8,19.9,20.5,0.25,1.0,2.0,1,0.9325100000000001,0.003437110000000001,-0.0040351499999999995,1.5965676000000002,0.00625608722,0.6590991283,13.95,3.95,12.97,0.86,0.79,1.78,0.18000000000000005,0.19999999999999996,-0.8,5.484457959186202,0.7
7,30,20.9,21.1,21.4,0.25,1.0,2.0,2,0.8918695,0.04111564000000001,-0.0025066499999999996,1.4343588999999999,0.00958402898,0.86314075,13.76,3.17,13.44,0.88,0.78,1.77,0.18000000000000005,0.19999999999999996,-0.8,3.3909083185382225,1.2
7,30,22.1,22.3,22.7,0.25,1.0,2.0,3,0.8220870000000001,0.1348432,-0.00021439999999999914,1.0685389,0.01338957218,1.0505016299999999,13.6,2.77,13.69,0.83,0.79,1.78,0.18000000000000005,0.19999999999999996,-0.8,2.269550678163214,1.7
7,30,23.3,23.4,23.8,0.25,1.0,2.0,4,0.67462,0.33685705,0.00429807,0.6874863999999999,0.017685450000000002,1.34772108,13.04,2.45,13.85,0.73,0.83,1.82,0.18000000000000005,0.19999999999999996,-0.8,1.4737416209630483,2.0
7,30,21.9,21.2,21.2,0.25,1.0,2.0,6,-0.0059644799999999994,0.8274965000000001,0.020059005,0.0044127223682,0.020284938,1.619068,10.92,2.13,13.97,0.45,1.1,2.1,0.18000000000000005,0.19999999999999996,-0.8,0.7967273478804427,0.3
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
8,30,21.9,21.4,22,0.25,1.0,2.0,0,0.965021,-0.006195,-0.006195,1.9981741000000002,0.003595459487202,0.01345151135,13.91,5.74,11.56,0.81,0.81,1.86,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.0,0.1
8,30,20.8,20.8,21.3,0.25,1.0,2.0,1,0.915156,0.012955675,-0.0030572449999999997,1.7124624000000002,0.00814214258,0.7106212011999999,13.85,3.63,13.13,0.85,0.78,1.8,0.18999999999999995,0.18999999999999995,-0.8600000000000001,2.8055848083236437,0.7
8,30,22.6,22.6,23,0.25,1.0,2.0,2,0.8565825000000001,0.09022505,-0.0010251549999999998,1.3357260999999998,0.012863100499999999,1.00843675,13.6,2.94,13.43,0.81,0.78,1.81,0.18999999999999995,0.18999999999999995,-0.8600000000000001,1.6821268479564482,1.2
8,30,23.9,24,24.5,0.25,1.0,2.0,3,0.754032,0.2444703,0.0019006200000000013,0.9437869,0.017469242,1.20616947,13.21,2.57,13.61,0.73,0.78,1.85,0.18999999999999995,0.18999999999999995,-0.8600000000000001,1.3028868448552575,1.7
8,30,24.2,24.2,24.8,0.25,1.0,2.0,3.5,0.6406685000000001,0.38285115000000003,0.004782185,0.65524,0.019905271999999998,1.33631507,12.77,2.39,13.73,0.68,0.8,1.89,0.18999999999999995,0.18999999999999995,-0.8600000000000001,1.0763563172643682,1.8
8,30,24.3,24.1,24.7,0.25,1.0,2.0,4,0.44065315000000005,0.5599660000000001,0.008459675,0.45088036899999995,0.01958,1.44887408,11.89,2.27,13.83,0.56,0.89,1.91,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.8518802493170097,2.0
8,30,24.2,24.2,24.7,0.25,1.0,2.0,4.5,0.1753536,0.73623,0.013488785,0.288603184,0.020990552,1.53552643,11.39,2.15,13.78,0.49,0.92,1.96,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.7635323658769122,1.9
8,30,22.7,22.8,23.3,0.25,1.0,2.0,5,-0.004823404999999999,0.8210430000000001,0.019655930000000002,0.004481184500000001,0.020501978,1.5649938699999997,11.16,2.18,13.79,0.41,0.93,2,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.7930346095964014,1.9
8,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18999999999999995,0.18999999999999995,-0.8600000000000001,,
8,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18999999999999995,0.18999999999999995,-0.8600000000000001,,
9,30,21.6,21.7,22.1,0.25,0.5,1.0,0,0.48327375000000006,-0.0057668649999999995,-0.005968289999999999,1.0902781,0.00376505,0.01396513375,13.57,5.26,11.54,0.8,0.81,0.82,0.19999999999999996,0.18999999999999995,1.1800000000000002,0.0,0.1
9,30,19.5,19.7,20.1,0.25,0.5,1.0,1,0.466157345,0.002378260000000001,-0.0035567599999999995,1.0712556,0.00613372032,0.6303956011999999,13.56,3.74,12.98,0.79,0.79,0.84,0.19999999999999996,0.18999999999999995,1.1800000000000002,5.232409078533273,0.6
9,30,20.2,20.3,20.6,0.25,0.5,1.0,2,0.4330081250000001,0.040998190000000004,-0.000605689999999999,0.7466796,0.00916184192,0.8223839426999999,13.33,3.08,13.36,0.79,0.79,0.81,0.19999999999999996,0.18999999999999995,1.1800000000000002,2.905477988354267,1.0
9,30,21.3,21.3,21.7,0.25,0.5,1.0,3,0.32358773500000004,0.168370135,0.00037209000000000027,0.388439809,0.014169240080000001,1.05373907,12.15,2.63,13.63,0.83,0.81,0.74,0.19999999999999996,0.18999999999999995,1.1800000000000002,1.56825135465552,1.4
9,30,21.1,20.7,21.5,0.25,0.5,1.0,4,0.0070818500000000015,0.433770235,0.004461995000000001,0.00757153512,0.018550922,1.25005068,10.73,2.31,13.74,0.9,0.9,0.62,0.19999999999999996,0.18999999999999995,1.1800000000000002,0.8706376834559325,0.8
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
11,30,22.8,22.3,21.7,0.25,1.0,2.0,0,0.9885465000000001,-0.006195,-0.006195,1.9230736000000002,0.0036261513288,0.01261753015,13.88,9.05,11.43,0.8,0.8,1.9,0.19999999999999996,0.19999999999999996,0.10000000000000009,0.0,0.1
11,30,21,21,22.8,0.25,1.0,2.0,1,0.9379955000000001,0.009873,-0.004644535,1.6793136,0.007576865780000001,0.7884224588,13.85,3.6,12.86,0.84,0.79,1.78,0.19999999999999996,0.19999999999999996,0.10000000000000009,4.084081778197578,0.9
11,30,22.1,22.2,23.2,0.25,1.0,2.0,2,0.8801775000000001,0.0714568,-0.00333441,1.2810421,0.01141996392,1.15097387,13.68,2.97,13.28,0.82,0.79,1.81,0.19999999999999996,0.19999999999999996,0.10000000000000009,2.4805789097534503,1.4
11,30,22.7,22.8,23.7,0.25,1.0,2.0,3,0.7854075,0.19899270000000002,0.000636910000000001,0.9762900999999999,0.015149048,1.5387996300000002,13.27,2.58,13.61,0.77,0.8,1.86,0.19999999999999996,0.19999999999999996,0.10000000000000009,1.7921575494670907,1.8
11,30,23,23.3,23.6,0.25,1.0,2.0,4,0.5503890000000001,0.47321085000000007,0.008290905000000001,0.524936596,0.019905271999999998,1.5944807500000002,12.18,2.31,13.79,0.61,0.9,1.92,0.19999999999999996,0.19999999999999996,0.10000000000000009,1.0899752095680324,1.8
11,30,23.1,23,23.6,0.25,1.0,2.0,5,0.038461435,0.8034745000000001,0.01711646,0.21018310929,0.020610522,1.5944807500000002,11.16,2.18,13.8,0.5,1.1,1.92,0.19999999999999996,0.19999999999999996,0.10000000000000009,0.7308649921411804,1.5
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
12,30,24.5,24,24.9,0.25,1.0,2.0,0,0.9758238300000002,-0.006195,-0.006195,1.9175164000000002,0.0036521264738,0.012656003733999999,13.82,4.96,11.31,0.8,0.8,1.84,0.19999999999999996,0.19999999999999996,0.15999999999999992,0.0,0.1
12,30,20.8,21,21.6,0.25,1.0,2.0,1,0.935166485,-0.0046320649999999994,-0.00541778,1.7982301000000003,0.00460326528,0.0306777984,13.82,10.69,12.4,0.88,0.79,1.8,0.19999999999999996,0.19999999999999996,0.15999999999999992,14.888985190486382,0.3
12,30,19.8,20,20.7,0.25,1.0,2.0,2,0.85757344,0.019034915000000003,-0.0033095749999999995,1.4041936,0.00893748968,0.6977750251999999,13.75,3.6,13.13,0.95,0.74,1.74,0.19999999999999996,0.19999999999999996,0.15999999999999992,2.7690330681556534,0.5
