Run,Wcat [g],Temp [degC],VolF [mL/min],molF [mmol/min],xNH3,xN2,xH2,Conv,molF_NH3,molF_N2,molF_H2,xNH3_cal,xN2_cal,xH2_cal,Fin [mmol/min],Fout [mmol/min],Vin [mL/min],Vout [mL/min],Vavg [mL/min],Vcat [mL],rt [min]
0,0.3,300,30,1.2261819770950027,0.925,0.019,0.056,0.03896103896103894,1.1784086533120806,0.02388666189146108,0.07165998567438324,0.9250000000000002,0.018749999999999992,0.05624999999999998,1.2261819770950027,1.2739553008779247,57.67063558611438,59.91754346609285,58.78693307165578,0.4024390243902439,0.006061824566475061
1,0.3,300,60,2.4523639541900053,0.948,0.013,0.039,0.026694045174538012,2.3869004400124485,0.03273175708877833,0.098195271266335,0.9479999999999998,0.01300000000000001,0.03900000000000003,2.4523639541900053,2.517827468367562,115.34127117222876,118.42019627538888,116.87397454140742,0.4024390243902439,0.0030490626889328075
2,0.3,300,90,3.6785459312850075,0.951,0.012,0.036,0.02511532547411586,3.5861580529493,0.0461939391678538,0.13858181750356138,0.9509999999999998,0.01225000000000001,0.036750000000000026,3.6785459312850075,3.7709338096207152,173.0119067583431,177.3571571074763,175.17554998738115,0.4024390243902439,0.002034279755977124
3,0.3,350,30,1.2261819770950027,0.795,0.051,0.154,0.11420612813370472,1.0861444811036514,0.07001874799567563,0.21005624398702688,0.7950000000000002,0.051250000000000004,0.15375,1.2261819770950027,1.3662194730863537,62.701660238135176,69.86257408148765,66.21759667785837,0.4024390243902439,0.005381591796741325
4,0.3,350,60,2.4523639541900053,0.843,0.039,0.118,0.08518719479110148,2.2434539483257456,0.10445500293212993,0.3133650087963898,0.843,0.03925000000000001,0.11775000000000001,2.4523639541900053,2.6612739600542654,125.40332047627035,136.08607756513334,130.67192861638804,0.4024390243902439,0.002727105039733808
5,0.3,350,90,3.6785459312850075,0.875,0.031,0.094,0.06666666666666667,3.433309535866007,0.12261819770950025,0.3678545931285008,0.8749999999999999,0.031249999999999997,0.09375,3.6785459312850075,3.9237823267040084,188.10498071440549,200.64531276203255,194.30770687936717,0.4024390243902439,0.0018339780794321564
6,0.3,400,30,1.2261819770950027,0.514,0.122,0.365,0.32100396301188905,0.8325727030737534,0.19680463701062462,0.5904139110318738,0.514,0.12150000000000001,0.3645,1.2261819770950027,1.6197912511162518,67.73268489015597,89.47514516533153,78.10015474629822,0.4024390243902439,0.004562808822070595
7,0.3,400,60,2.4523639541900053,0.647,0.088,0.265,0.21432908318154217,1.9267510362609999,0.26280645896450266,0.7884193768935079,0.647,0.08825,0.26474999999999993,2.4523639541900053,2.9779768721190107,135.46536978031193,164.4995382881748,149.51289945708274,0.4024390243902439,0.002383447022802064
8,0.3,400,90,3.6785459312850075,0.713,0.072,0.216,0.1675423234092236,3.062233799189971,0.30815606604751816,0.9244681981425544,0.713,0.07175000000000001,0.21525,3.6785459312850075,4.294858063380044,203.19805467046785,237.24232886219252,219.78090984097005,0.4024390243902439,0.001621415050740038
9,0.3,450,30,1.2261819770950027,0.202,0.2,0.599,0.6638935108153079,0.4121277194229459,0.4070271288360284,1.2210813865080852,0.20199999999999996,0.1995,0.5985000000000001,1.2261819770950027,2.0402362347670593,72.76370954217677,121.0710641300778,94.87650622197306,0.4024390243902439,0.003755999132680514
10,0.3,450,60,2.4523639541900053,0.387,0.153,0.46,0.4419610670511896,1.368514564198316,0.5419246949958447,1.6257740849875342,0.38700000000000007,0.15325,0.45975,2.4523639541900053,3.5362133441816948,145.52741908435354,209.84487250808007,175.72880769163325,0.4024390243902439,0.0020278751091671746
11,0.3,450,90,3.6785459312850075,0.5,0.125,0.375,0.3333333333333333,2.4523639541900053,0.6130909885475012,1.8392729656425035,0.5,0.12499999999999997,0.3749999999999999,3.6785459312850075,4.904727908380011,218.29112862653025,291.0548381687071,252.93098357518562,0.4024390243902439,0.0014089063745547754
12,0.3,500,30,1.2261819770950027,0.024,0.244,0.732,0.953125,0.05747728017632825,0.5843523484593371,1.7530570453780114,0.024,0.244,0.732,1.2261819770950027,2.394886674013677,77.79473419419756,151.9428402230421,110.762938016279,0.4024390243902439,0.003217286228260883
13,0.3,500,60,2.4523639541900053,0.15,0.213,0.638,0.7391304347826088,0.6397471184843491,0.9063084178528281,2.7189252535584845,0.14999999999999997,0.21250000000000002,0.6375000000000001,2.4523639541900053,4.264980789895661,155.58946838839512,270.59037980590455,207.8134787164458,0.4024390243902439,0.001714788074779902
14,0.3,500,90,3.6785459312850075,0.277,0.181,0.542,0.5661707126076742,1.5958609600093145,1.0413424856378466,3.12402745691354,0.2770000000000001,0.18074999999999997,0.5422499999999999,3.6785459312850075,5.761230902560701,233.38420258259262,365.51950287015296,294.52831721453873,0.4024390243902439,0.0012099212681879862
15,0.3,550,30,1.2261819770950027,0.001,0.25,0.749,0.9980019980019981,0.0024499140401497725,0.6118660315274265,1.8355980945822794,0.000999999999999966,0.24975000000000003,0.7492500000000001,1.2261819770950027,2.4499140401498556,82.82575884621835,165.48603166077595,119.4257745506919,0.4024390243902439,0.0029839126136898364
16,0.3,550,60,2.4523639541900053,0.02,0.245,0.735,0.9607843137254901,0.09617113545843178,1.1780964093657869,3.534289228097361,0.020000000000000042,0.24499999999999997,0.735,2.4523639541900053,4.8085567729215795,165.6515176924367,324.80689743615045,236.36543723755148,0.4024390243902439,0.001507648830752459
17,0.3,550,90,3.6785459312850075,0.1,0.225,0.675,0.8181818181818181,0.6688265329609107,1.5048596991620484,4.514579097486145,0.10000000000000003,0.225,0.6749999999999999,3.6785459312850075,6.688265329609104,248.47727653865502,451.7768664339182,340.0585605078106,0.4024390243902439,0.0010479256118397385
